Location,Household Type,TimeFrame,DataFormat,Data,Fips
Astoria,All Households,2023,Dollars,84590,401
Astoria,Families,2023,Dollars,94918,401
Astoria,Families with Children,2023,Dollars,85568,401
Astoria,Families without Children,2023,Dollars,110222,401
Battery Park/Tribeca,All Households,2023,Dollars,198945,101
Battery Park/Tribeca,Families,2023,Dollars,250000,101
Battery Park/Tribeca,Families with Children,2023,Dollars,250000,101
Battery Park/Tribeca,Families without Children,2023,Dollars,250000,101
Bay Ridge,All Households,2023,Dollars,88566,310
Bay Ridge,Families,2023,Dollars,100176,310
Bay Ridge,Families with Children,2023,Dollars,108244,310
Bay Ridge,Families without Children,2023,Dollars,97493,310
Bayside,All Households,2023,Dollars,107607,411
Bayside,Families,2023,Dollars,126636,411
Bayside,Families with Children,2023,Dollars,124228,411
Bayside,Families without Children,2023,Dollars,127902,411
Bedford Park,All Households,2023,Dollars,42387,207
Bedford Park,Families,2023,Dollars,47368,207
Bedford Park,Families with Children,2023,Dollars,35920,207
Bedford Park,Families without Children,2023,Dollars,55125,207
Bedford Stuyvesant,All Households,2023,Dollars,75184,303
Bedford Stuyvesant,Families,2023,Dollars,76551,303
Bedford Stuyvesant,Families with Children,2023,Dollars,61606,303
Bedford Stuyvesant,Families without Children,2023,Dollars,82823,303
Bensonhurst,All Households,2023,Dollars,68996,311
Bensonhurst,Families,2023,Dollars,76103,311
Bensonhurst,Families with Children,2023,Dollars,66313,311
Bensonhurst,Families without Children,2023,Dollars,82111,311
Borough Park,All Households,2023,Dollars,67187,312
Borough Park,Families,2023,Dollars,72342,312
Borough Park,Families with Children,2023,Dollars,70689,312
Borough Park,Families without Children,2023,Dollars,79363,312
Bronx,All Households,2023,Dollars,46838,36005
Bronx,Families,2023,Dollars,56799,36005
Bronx,Families with Children,2023,Dollars,44758,36005
Bronx,Families without Children,2023,Dollars,66206,36005
Brooklyn,All Households,2023,Dollars,76912,36047
Brooklyn,Families,2023,Dollars,84932,36047
Brooklyn,Families with Children,2023,Dollars,80816,36047
Brooklyn,Families without Children,2023,Dollars,88170,36047
Brownsville,All Households,2023,Dollars,41876,316
Brownsville,Families,2023,Dollars,45408,316
Brownsville,Families with Children,2023,Dollars,31677,316
Brownsville,Families without Children,2023,Dollars,61053,316
Bushwick,All Households,2023,Dollars,78456,304
Bushwick,Families,2023,Dollars,78290,304
Bushwick,Families with Children,2023,Dollars,52319,304
Bushwick,Families without Children,2023,Dollars,82353,304
Canarsie,All Households,2023,Dollars,88188,318
Canarsie,Families,2023,Dollars,102362,318
Canarsie,Families with Children,2023,Dollars,94835,318
Canarsie,Families without Children,2023,Dollars,108774,318
Central Harlem,All Households,2023,Dollars,48977,110
Central Harlem,Families,2023,Dollars,62441,110
Central Harlem,Families with Children,2023,Dollars,73685,110
Central Harlem,Families without Children,2023,Dollars,61692,110
Chelsea/Clinton,All Households,2023,Dollars,122723,104
Chelsea/Clinton,Families,2023,Dollars,153456,104
Chelsea/Clinton,Families with Children,2023,Dollars,142969,104
Chelsea/Clinton,Families without Children,2023,Dollars,154002,104
Concourse/Highbridge,All Households,2023,Dollars,37937,204
Concourse/Highbridge,Families,2023,Dollars,48203,204
Concourse/Highbridge,Families with Children,2023,Dollars,33769,204
Concourse/Highbridge,Families without Children,2023,Dollars,55186,204
Coney Island,All Households,2023,Dollars,41428,313
Coney Island,Families,2023,Dollars,60252,313
Coney Island,Families with Children,2023,Dollars,57177,313
Coney Island,Families without Children,2023,Dollars,62886,313
Crown Heights North,All Households,2023,Dollars,91506,308
Crown Heights North,Families,2023,Dollars,86619,308
