Station,borough,Line,2017 Weekday,2017 Weekend,#,2012 Weekday,2012 Weekend,2013 Weekday,2013 Weekend,2014 Weekday,2014 Weekend,2015 Weekday,2015 Weekend,2016 Weekday,2016 Weekend,2016-2017 Weekday Change,2016-2017 Weekend Change,2017 Weekday Rank,2017 Weekend Rank,F20,F22,Latitude,Longitude,Notes,Number of Records,Fips
1st Avenue,Manhattan,L,21823,28252,1,22436.0,30928.0,23467.0,32724.0,24286.0,35581.0,23789.0,30185.0,23195.0,3217.0,-1372.0,-3918.0,65.0,41,-1.22,-0.59,40.730974976,-73.981680875,L-all times,1,103
103rd Street - 1,Manhattan,1,12818,15651,2,13557.0,17811.0,13501.0,18131.0,13318.0,14644.0,13309.0,15829.0,13246.0,16603.0,-428.0,-953.0,128.0,99,-0.57,-0.32,40.799446,-73.968379,1-all times,1,107
103rd Street - 4-6,Manhattan,4-6-6 Express,14337,13921,3,15721.0,16997.0,16189.0,16793.0,16641.0,17608.0,13057.0,13014.0,13994.0,13963.0,343.0,-43.0,110.0,122,-0.03,0.25,40.7906,-73.947478002,"4-nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",1,111
103rd Street - A-B-C,Manhattan,A-B-C,4674,5191,4,4659.0,5599.0,4761.0,5799.0,4832.0,5947.0,4801.0,5458.0,4776.0,4817.0,-102.0,374.0,308.0,286,0.78,-0.21,40.79606074,-73.961370083,"A-nights, B-weekdays and evenings, C-all times exc nights",1,164
103rd Street - Corona Plaza,Queens,7,20101,25432,5,18984.0,25246.0,19216.0,26098.0,19814.0,25974.0,20044.0,26056.0,20282.0,24283.0,-181.0,1149.0,72.0,46,0.47,-0.09,40.749865001,-73.862699998,7-all times,1,404
104th Street - A-S,Queens,A-S,1901,1425,6,1725.0,1401.0,1736.0,1351.0,1333.0,887.0,1891.0,1014.0,2189.0,1232.0,-289.0,193.0,400.0,398,1.57,-1.32,40.681711001,-73.837683001,"S Euclid Av to Ozone Park-Lefferts Blvd-nights, A-all other times",1,410
104th Street - J-Z,Queens,J-Z,1727,1123,7,2553.0,2108.0,2575.0,2251.0,2659.0,2763.0,2711.0,2774.0,2758.0,2686.0,-1031.0,-1563.0,405.0,404,-5.82,-3.74,40.695165998,-73.844435,"Z-rush hours AM westbound, PM eastbound, J-all other times",1,409
110th Street,Manhattan,4-6-6 Express,11932,12893,8,11908.0,13944.0,12162.0,13682.0,12452.0,14381.0,13409.0,14497.0,13341.0,146.0,-1409.0,-1707.0,136.0,133,-1.17,-1.06,40.79502,-73.944249997,"4-nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",1,111
111th Street - 7,Queens,7,11384,15141,9,10655.0,14741.0,10914.0,15183.0,11091.0,15279.0,11198.0,15536.0,11421.0,15324.0,-37.0,-184.0,143.0,104,-0.12,-0.03,40.751729999,-73.855333998,7-all times,1,403
111th Street - AS,Queens,A-S,2571,1754,11,2728.0,2102.0,2718.0,1902.0,2815.0,1558.0,2727.0,1303.0,1947.0,1192.0,624.0,562.0,382.0,392,4.71,3.2,40.684331,-73.832162998,"S Euclid Av to Ozone Park-Lefferts Blvd-nights, A-all other times",1,410
111th Street - J,Queens,J,3235,2296,11,2613.0,2021.0,2605.0,2131.0,2596.0,2594.0,2627.0,263.0,2607.0,2566.0,628.0,-270.0,366.0,379,-1.05,2.41,40.697114811,-73.836793385,J-all times,1,409
116th Street - 2-3,Manhattan,2-3 train,11553,14583,12,11101.0,14811.0,11508.0,14411.0,11787.0,15501.0,12196.0,15487.0,1209.0,14435.0,-537.0,148.0,141.0,112,0.1,-0.44,40.802097999,-73.949625001,"2,3-all times",1,110
116th Street - 4-6,Manhattan,4-6-6 Express,15899,18846,13,16514.0,20749.0,16675.0,20263.0,16674.0,20611.0,16702.0,19593.0,16707.0,19733.0,-808.0,-887.0,94.0,83,-0.45,-0.48,40.798629,-73.941616998,"4-nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound",1,111
116th Street - A-B-C,Manhattan,A-B-C,7232,7673,14,6328.0,7647.0,6594.0,8172.0,7005.0,8287.0,7215.0,7514.0,7417.0,7077.0,-185.0,596.0,222.0,218,0.84,-0.25,40.805058133,-73.954797781,"A-nights, B-weekdays and evenings, C-all times exc nights",1,110
116th Street - Columbia University,Manhattan,1,15263,13115,15,16283.0,16047.0,16363.0,16166.0,16461.0,13256.0,16132.0,13547.0,15861.0,13853.0,-598.0,-73.8,101.0,128,-0.53,-0.38,40.807722001,-73.964109998,1-all times,1,109
121st Street,Queens,J-Z,1135,8581,16,2218.0,1991.0,2222.0,2249.0,2397.0,2861.0,2462.0,2973.0,2501.0,2872.0,-1365.0,-2014.0,412.0,415,-7.01,-5.46,40.700481999,-73.828349,"Z-rush hours AM westbound, PM eastbound, J-all other times",1,409
125th Street - 1,Manhattan,1,7584,9379,17,7857.0,10889.0,7995.0,11257.0,8077.0,9469.0,7991.0,9482.0,7794.0,9797.0,-210.0,-418.0,211.0,184,-0.43,-0.27,40.815581,-73.958372001,1-all times,1,109
