Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
Riverdale,Asian and Pacific Islander,2021,Number,4428,208
Williamsbridge,Asian and Pacific Islander,2021,Number,3102,212
Throgs Neck,Asian and Pacific Islander,2021,Number,5257,210
Pelham Parkway,Asian and Pacific Islander,2021,Number,10623,211
Morrisania,Asian and Pacific Islander,2021,Number,742.18827,203
East Tremont,Asian and Pacific Islander,2021,Number,774.81173,206
Bedford Park,Asian and Pacific Islander,2021,Number,7772,207
University Heights,Asian and Pacific Islander,2021,Number,2182,205
Concourse/Highbridge,Asian and Pacific Islander,2021,Number,1805,204
Unionport/Soundview,Asian and Pacific Islander,2021,Number,16797,209
Mott Haven,Asian and Pacific Islander,2021,Number,562.69417,201
Hunts Point,Asian and Pacific Islander,2021,Number,321.30583,202
Washington Heights,Asian and Pacific Islander,2021,Number,6646,112
Manhattanville,Asian and Pacific Islander,2021,Number,12036,109
Central Harlem,Asian and Pacific Islander,2021,Number,5104,110
East Harlem,Asian and Pacific Islander,2021,Number,10341,111
Upper East Side,Asian and Pacific Islander,2021,Number,23037,108
Upper West Side,Asian and Pacific Islander,2021,Number,19321,107
Chelsea/Clinton,Asian and Pacific Islander,2021,Number,17589.59763,104
Midtown Business District,Asian and Pacific Islander,2021,Number,8803.40237,105
Murray Hill/Stuyvesant,Asian and Pacific Islander,2021,Number,23135,106
Lower East Side,Asian and Pacific Islander,2021,Number,46279,103
Battery Park/Tribeca,Asian and Pacific Islander,2021,Number,10371.1142,101
Greenwich Village,Asian and Pacific Islander,2021,Number,15309.8858,102
Tottenville,Asian and Pacific Islander,2021,Number,9111,503
South Beach,Asian and Pacific Islander,2021,Number,24526,502
St. George,Asian and Pacific Islander,2021,Number,17464,501
Williamsburg/Greenpoint,Asian and Pacific Islander,2021,Number,10916,301
Bushwick,Asian and Pacific Islander,2021,Number,7133,304
Bedford Stuyvesant,Asian and Pacific Islander,2021,Number,5011,303
Fort Greene/Brooklyn Hts,Asian and Pacific Islander,2021,Number,15555,302
Park Slope,Asian and Pacific Islander,2021,Number,9964,306
Crown Heights North,Asian and Pacific Islander,2021,Number,5330,308
Brownsville,Asian and Pacific Islander,2021,Number,1652,316
East New York,Asian and Pacific Islander,2021,Number,8868,305
Canarsie,Asian and Pacific Islander,2021,Number,11215,318
East Flatbush,Asian and Pacific Islander,2021,Number,2227,317
Crown Heights South,Asian and Pacific Islander,2021,Number,2388,309
Sunset Park,Asian and Pacific Islander,2021,Number,45424,307
Bay Ridge,Asian and Pacific Islander,2021,Number,31137,310
Borough Park,Asian and Pacific Islander,2021,Number,22695,312
Flatbush/Midwood,Asian and Pacific Islander,2021,Number,18300,314
Sheepshead Bay,Asian and Pacific Islander,2021,Number,28302,315
